ma_code,ma_name,ma_level,ma_parent,ma_postal_code
11,Aceh,1,,
1101,Kab. Aceh Selatan,2,11,
110101,Bakongan,3,1101,
1101012001,Keude Bakongan,4,110101,23773
1101012002,Ujong Mangki,4,110101,23773
1101012003,Ujong Padang,4,110101,23773
1101012004,Gampong Drien,4,110101,23773
1101012015,Darul Ikhsan,4,110101,23773
1101012016,Padang Beurahan,4,110101,23773
1101012017,Gampong Baro,4,110101,23773
110102,Kluet Utara,3,1101,
1101022001,Fajar Harapan,4,110102,23771
1101022002,Krueng Batee,4,110102,23771
1101022003,Pasi Kuala Asahan,4,110102,23771
1101022004,Gunung Pulo,4,110102,23771
1101022005,Pulo Ie I,4,110102,23771
1101022006,Jambo Manyang,4,110102,23771
1101022007,Simpang Empat,4,110102,23771
1101022008,Limau Purut,4,110102,23771
1101022009,Pulo Kambing,4,110102,23771
1101022010,Kampung Paya,4,110102,23771
1101022011,Krueng Batu,4,110102,23771
1101022012,Krueng Kluet,4,110102,23771
1101022013,Alur Mas,4,110102,23771
1101022014,Kampung Tinggi,4,110102,23771
1101022015,Ruak,4,110102,23771
1101022016,Simpang Lhee,4,110102,23771
1101022017,Suaq Geuringgeng,4,110102,23771
1101022018,Pasi Kuala Ba'U,4,110102,23771
1101022019,Kedai Padang,4,110102,23771
1101022020,Kotafajar,4,110102,23771
1101022021,Gunung Pudung,4,110102,23771
110103,Kluet Selatan,3,1101,
1101032001,Suaq Bakung,4,110103,23772
1101032002,Rantau Binuang,4,110103,23772
1101032003,Barat Daya,4,110103,23772
1101032004,Sialang,4,110103,23772
1101032005,Kapeh,4,110103,23772
1101032006,Pulo Ie,4,110103,23772
1101032007,Kedai Runding,4,110103,23772
1101032008,Kedai Kandang,4,110103,23772
1101032009,Gampong Luar,4,110103,23772
1101032010,Ujung,4,110103,23772
1101032011,Jua,4,110103,23772
1101032012,Pasi Meurapat,4,110103,23772
1101032013,Ujung Pasir,4,110103,23772
1101032014,Geulumbuk,4,110103,23772
1101032015,Pasie Lembang,4,110103,23772
1101032016,Ujung Padang,4,110103,23772
1101032017,Indra Damai,4,110103,23772
110104,Labuhan Haji,3,1101,
1101042001,Bakau Hulu,4,110104,23761
1101042002,Padang Bakau,4,110104,23761
1101042003,Manggis Harapan,4,110104,23761
1101042004,Pasar Lama,4,110104,23761
1101042005,Apha,4,110104,23761
1101042006,Ujung Batu,4,110104,23761
1101042007,Pawoh,4,110104,23761
1101042008,Dalam,4,110104,23761
1101042009,Kota Palak,4,110104,23761
1101042010,Cacang,4,110104,23761
1101042011,Tengah Pisang,4,110104,23761
1101042012,Pisang,4,110104,23761
1101042013,Hulu Pisang,4,110104,23761
1101042014,Tengah Baru,4,110104,23761
1101042015,Lembah Baru,4,110104,23761
1101042016,Padang Baru,4,110104,23761
110105,Meukek,3,1101,
1101052001,Kuta Buloh Ii,4,110105,23754
1101052002,Kuta Buloh I,4,110105,23754
1101052003,Ie Dingen,4,110105,23754
1101052004,Drien Jalo,4,110105,23754
1101052005,Jambo Papeun,4,110105,23754
1101052006,Buket Meuh,4,110105,23754
1101052007,Blang Kuala,4,110105,23754
1101052008,Rot Teungoh,4,110105,23754
1101052009,Alue Baro,4,110105,23754
1101052010,Ladang Tuha,4,110105,23754
1101052011,Lhok Mamplam,4,110105,23754
1101052012,Arun Tunggai,4,110105,23754
1101052013,Blang Teungoh,4,110105,23754
1101052014,Blang Bladeh,4,110105,23754
1101052015,Ie Buboh,4,110105,23754
1101052016,Keude Meukek,4,110105,23754
1101052017,Kuta Baro,4,110105,23754
1101052018,Tanjung Harapan,4,110105,23754
1101052019,Labuhan Tarok,4,110105,23754
1101052020,Lhok Aman,4,110105,23754
1101052021,Alue Meutuah,4,110105,23754
1101052022,Ladang Baro,4,110105,23754
1101052023,Labuhan Tarok Ii,4,110105,23754
110106,Samadua,3,1101,
1101062001,Dalam,4,110106,23752
1101062002,Subarang,4,110106,23752
1101062003,Kuta Baru,4,110106,23752
1101062004,Gunung Ketek,4,110106,23752
1101062005,Ladang Panton Luas,4,110106,23752
1101062006,Madat,4,110106,23752
1101062007,Alur Seumerah,4,110106,23752
1101062008,Tengah,4,110106,23752
1101062009,Gunung Cut,4,110106,23752
1101062010,Alur Pinang,4,110106,23752
1101062011,Kuta Blang,4,110106,23752
1101062012,Batee Tunggai,4,110106,23752
1101062013,Ujung Tanah,4,110106,23752
1101062014,Ujung Kampung,4,110106,23752
1101062015,Jilatang,4,110106,23752
1101062016,Luar,4,110106,23752
1101062017,Lubuk Layu,4,110106,23752
1101062018,Suaq Hulu,4,110106,23752
1101062019,Tampang,4,110106,23752
1101062020,Payonan Gadang,4,110106,23752
1101062021,Gadang,4,110106,23752
1101062022,Baru,4,110106,23752
1101062023,Ladang Kasik Putih,4,110106,23752
1101062024,Air Sialang Hilir.,4,110106,23752
1101062025,Air Sialang Hulu,4,110106,23752
1101062026,Air Sialang Tengah,4,110106,23752
1101062027,Balai,4,110106,23752
1101062028,Arafah,4,110106,23752
110107,Sawang,3,1101,
1101072001,Sikulat,4,110107,23753
1101072002,Sawang I,4,110107,23753
1101072003,Meuligo,4,110107,23753
1101072004,Lhok Pawoh,4,110107,23753
1101072005,Sawang Ii,4,110107,23753
1101072006,Ujung Karang,4,110107,23753
1101072007,Trieng Meuduro Baroh,4,110107,23753
1101072008,Trieng Meuduro Tunong,4,110107,23753
1101072009,Panton Luas,4,110107,23753
1101072010,Simpang Tiga,4,110107,23753
1101072011,Kuta Baro,4,110107,23753
1101072012,Blang Geulinggang,4,110107,23753
1101072013,Mutiara,4,110107,23753
1101072014,Ujung Padang,4,110107,23753
1101072015,Sawang Ba'U,4,110107,23753
110108,Tapaktuan,3,1101,
1101082001,Lhok Keutapang,4,110108,23718
1101082002,Hilir,4,110108,23717
1101082003,Padang,4,110108,23713
1101082004,Hulu,4,110108,23714
1101082005,Jambo Apha,4,110108,23716
1101082006,Tepi Air,4,110108,23712
1101082007,Pasar,4,110108,23711
1101082008,Lhok Bengkuang,4,110108,23715
1101082009,Panton Luas,4,110108,23711
1101082010,Gunung Kerambil,4,110108,23711
1101082011,Air Berudang,4,110108,23711
1101082012,Batu Itam,4,110108,23711
1101082013,Panjupian,4,110108,23711
1101082014,Lhok Rukam,4,110108,23711
1101082015,Air Pinang,4,110108,23711
1101082016,Lhok Bengkuang Timur,4,110108,23712
110109,Trumon,3,1101,
1101092001,Keude Trumon,4,110109,23774
1101092002,Ujong Tanoh,4,110109,23774
1101092003,Sigleng,4,110109,23774
1101092004,Ie Meudama,4,110109,23774
1101092005,Tuepin Tinggi,4,110109,23774
1101092006,Kuta Baro,4,110109,23774
1101092007,Panton Bilie,4,110109,23774
1101092012,Kuta Padang,4,110109,23774
1101092013,Raket,4,110109,23774
1101092014,Gampong Teungoh,4,110109,23774
